playerID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame,retroID,bbrefID,deathDate,birthDate
grullde01,1996,2,17,D.R.,Monsenor Nouel,Bonao,NA,NA,NA,NA,NA,NA,Deivy,Grullon,Deivy Wilfin,240,71,R,R,2019-09-22,2020-09-08,gruld001,grullde01,NA,1996-02-17
barnere01,1903,12,25,USA,AL,Suggsville,1959,7,3,USA,AL,Mobile,Red,Barnes,Emile Deering,158,70,L,R,1927-09-29,1930-09-20,barnr104,barnere01,1959-07-03,1903-12-25
gomezpr01,1923,4,20,Cuba,NA,Central Preston,2009,1,13,USA,CA,Fullerton,Preston,Gomez,Preston,170,71,R,R,1944-05-05,1944-08-12,gomep101,gomezpr01,2009-01-13,1923-04-20
ortonjo01,1965,12,8,USA,CA,Santa Cruz,NA,NA,NA,NA,NA,NA,John,Orton,John Andrew,195,73,R,R,1989-08-20,1993-07-04,ortoj001,ortonjo01,NA,1965-12-08
zambred01,1966,2,1,Venezuela,Zulia,Maracaibo,NA,NA,NA,NA,NA,NA,Eddie,Zambrano,Eduardo Jose,175,74,R,R,1993-09-19,1994-08-10,zambe001,zambred01,NA,1966-02-01
johnsal01,1942,12,7,USA,AR,Helena,2015,2,28,USA,MI,Detroit,Alex,Johnson,Alexander,205,72,R,R,1964-07-25,1976-10-01,johna104,johnsal01,2015-02-28,1942-12-07
fairlro01,1938,7,12,USA,GA,Macon,2019,10,30,USA,CA,Palm Desert,Ron,Fairly,Ronald Ray,175,70,L,L,1958-09-09,1978-09-23,fairr101,fairlro01,2019-10-30,1938-07-12
guthrma01,1965,9,22,USA,NY,Buffalo,NA,NA,NA,NA,NA,NA,Mark,Guthrie,Mark Andrew,192,76,R,L,1989-07-25,2003-09-28,guthm001,guthrma01,NA,1965-09-22
jeffrje01,1987,9,21,USA,VA,South Boston,NA,NA,NA,NA,NA,NA,Jeremy,Jeffress,Jeremy Ross,205,72,R,R,2010-09-01,2020-09-26,jeffj001,jeffrje01,NA,1987-09-21
kipnija01,1987,4,3,USA,IL,Northbrook,NA,NA,NA,NA,NA,NA,Jason,Kipnis,Jason Michael,200,71,L,R,2011-07-22,2020-09-27,kipnj001,kipnija01,NA,1987-04-03
ryanmi03,1977,7,6,USA,PA,Indiana,NA,NA,NA,NA,NA,NA,Mike,Ryan,Michael Sean,182,70,L,R,2002-09-20,2010-06-14,ryanm001,ryanmi03,NA,1977-07-06
dealch01,1891,10,30,USA,PA,Wilkinsburg,1979,9,16,USA,CA,Covina,Charlie,Deal,Charles Albert,160,72,R,R,1912-07-17,1921-10-02,dealc102,dealch01,1979-09-16,1891-10-30
hewetwa99,1861,NA,NA,USA,DC,Washington,1944,10,7,USA,DC,Washington,Walter,Hewett,Walter Franklin,NA,NA,NA,NA,NA,NA,hewew801,hewetwa99,1944-10-07,NA
rothfr01,1878,10,11,USA,IL,Chicago,1955,3,27,USA,WI,Burlington,Frank,Roth,Francis Charles,160,70,R,R,1903-04-18,1910-10-09,rothf101,rothfr01,1955-03-27,1878-10-11
wendetu01,1967,5,19,USA,MA,Pittsfield,NA,NA,NA,NA,NA,NA,Turk,Wendell,Steven John,185,74,B,R,1993-06-17,2004-05-13,wendt001,wendetu01,NA,1967-05-19
kolstha01,1935,6,1,USA,WI,Rice Lake,NA,NA,NA,NA,NA,NA,Hal,Kolstad,Harold Everette,190,69,R,R,1962-04-22,1963-07-17,kolsh101,kolstha01,NA,1935-06-01
angleto01,1904,10,2,USA,MD,Baltimore,1952,10,26,USA,KS,Wichita,Tom,Angley,Thomas Samuel,190,68,L,R,1929-04-23,1929-04-30,anglt101,angleto01,1952-10-26,1904-10-02
hickeed01,1872,8,18,USA,OH,Cleveland,1941,3,25,USA,WA,Tacoma,Eddie,Hickey,Edward Arthur,NA,NA,NA,NA,1901-09-03,1901-09-23,hicke102,hickeed01,1941-03-25,1872-08-18
champbi01,1947,9,18,USA,NC,Shelby,2017,1,7,USA,NC,Shelby,Bill,Champion,Buford Billy,188,76,R,R,1969-06-04,1976-06-05,chamb101,champbi01,2017-01-07,1947-09-18
babelo01,1928,1,11,USA,IA,Pisgah,1984,2,14,USA,NE,Omaha,Loren,Babe,Loren Rolland,180,70,L,R,1952-08-19,1953-09-27,babel101,babelo01,1984-02-14,1928-01-11
frenclu01,1985,9,13,USA,KS,Salina,NA,NA,NA,NA,NA,NA,Luke,French,Lucas Stephen,220,76,L,L,2009-05-15,2010-10-01,frenl001,frenclu01,NA,1985-09-13
booneik01,1897,2,17,USA,AL,Samantha,1958,8,1,USA,AL,Northport,Ike,Boone,Isaac Morgan,195,72,L,R,1922-04-22,1932-05-09,booni101,booneik01,1958-08-01,1897-02-17
davisto02,1939,3,21,USA,NY,Brooklyn,NA,NA,NA,NA,NA,NA,Tommy,Davis,Herman Thomas,195,74,R,R,1959-09-22,1976-10-02,davit103,davisto02,NA,1939-03-21
thigpcu01,1983,4,19,USA,TX,Dallas,NA,NA,NA,NA,NA,NA,Curtis,Thigpen,Curtis Barnard,190,71,R,R,2007-06-06,2008-09-26,thigc001,thigpcu01,NA,1983-04-19
wheeldi01,1898,1,14,USA,NH,Keene,1962,2,12,USA,MA,Lexington,Dick,Wheeler,Richard,185,71,R,R,1918-06-13,1918-06-17,wheed102,wheeldi01,1962-02-12,1898-01-14
ellisja01,1978,4,4,USA,CA,Quincy,NA,NA,NA,NA,NA,NA,Jason,Ellison,Jason Jerome,180,70,R,R,2003-05-09,2008-08-24,ellij001,ellisja01,NA,1978-04-04
willida02,1880,2,7,United Kingdom,Swansea,Swansea,1918,4,25,USA,AR,Hot Springs,Dave,Williams,David Owen,167,71,R,L,1902-07-02,1902-08-03,willd103,willida02,1918-04-25,1880-02-07
malkmbo01,1931,7,4,USA,NJ,Newark,NA,NA,NA,NA,NA,NA,Bobby,Malkmus,Robert Edward,175,69,R,R,1957-06-01,1962-05-15,malkb101,malkmbo01,NA,1931-07-04
kennebo01,1920,8,18,USA,IL,Chicago,2005,4,7,USA,AZ,Mesa,Bob,Kennedy,Robert Daniel,193,74,R,R,1939-09-14,1957-09-29,kennb104,kennebo01,2005-04-07,1920-08-18
linkfr01,1886,3,11,USA,OH,Columbus,1939,5,22,USA,TX,Houston,Fred,Link,Frederick Theodore,170,72,L,L,1910-04-15,1910-08-25,linkf101,linkfr01,1939-05-22,1886-03-11
blefacu01,1943,7,5,USA,NY,Brooklyn,2001,1,28,USA,FL,Pompano Beach,Curt,Blefary,Curtis Leroy,195,74,L,R,1965-04-14,1972-10-04,blefc101,blefacu01,2001-01-28,1943-07-05
bowerbi01,1922,3,25,USA,AR,Parkin,1996,9,17,USA,AR,Wynne,Billy,Bowers,Grover Bill,176,69,L,R,1949-04-24,1949-06-09,boweb101,bowerbi01,1996-09-17,1922-03-25
hartmjc01,1934,4,15,USA,AL,Cottonton,NA,NA,NA,NA,NA,NA,J C,Hartman,J C,175,72,R,R,1962-07-21,1963-07-01,hartj101,hartmj_01,NA,1934-04-15
scarrru01,1903,1,14,USA,FL,Pensacola,1994,12,4,USA,FL,Pensacola,Russ,Scarritt,Stephen Russell Mallory,165,70,L,R,1929-04-18,1932-05-25,scarr103,scarrru01,1994-12-04,1903-01-14
gilledu01,1900,2,25,USA,CA,Oakland,1954,2,15,USA,CA,Vallejo,John,Gillespie,John Patrick,172,71,R,R,1922-04-12,1922-09-30,gillj103,gillejo01,1954-02-15,1900-02-25
basgamo01,1922,2,8,USA,KS,Pfeifer,2005,9,22,USA,AZ,Sierra Vista,Monty,Basgall,Romanus,175,70,R,R,1948-04-19,1951-08-11,basgm101,basgamo01,2005-09-22,1922-02-08
campber01,1987,4,9,USA,CT,Norwich,NA,NA,NA,NA,NA,NA,Eric,Campbell,Eric Singleton,215,75,R,R,2014-05-10,2021-05-29,campe001,campber01,NA,1987-04-09
huelsfr01,1874,6,5,USA,MO,St. Louis,1959,6,9,USA,MO,Affton,Frank,Huelsman,Frank Elmer,210,74,R,R,1897-10-03,1905-10-07,huelf101,huelsfr01,1959-06-09,1874-06-05
rojasco01,1939,3,6,Cuba,La Habana,La Habana,NA,NA,NA,NA,NA,NA,Cookie,Rojas,Octavio Victor,160,70,R,R,1962-04-10,1977-10-01,rojac101,rojasco01,NA,1939-03-06
williji02,1927,3,20,USA,LA,Doyline,NA,NA,NA,NA,NA,NA,Jim,Willis,James Gladden,175,75,L,R,1953-04-22,1954-06-05,willj104,williji02,NA,1927-03-20
hearnbu02,1904,1,13,USA,NY,Brooklyn,1974,3,31,USA,FL,Venice,Bunny,Hearn,Elmer Lafayette,160,68,L,L,1926-04-13,1929-06-25,hearb101,hearnbu02,1974-03-31,1904-01-13
buterdr01,1983,8,9,USA,IN,Evansville,NA,NA,NA,NA,NA,NA,Drew,Butera,Andrew Edward,212,73,R,R,2010-04-09,2021-05-27,buted001,buterdr01,NA,1983-08-09
schulal01,1889,5,12,USA,OH,Toledo,1931,12,14,USA,OH,Gallipolis,Al,Schulz,Albert Christopher,182,72,R,L,1912-09-25,1916-09-23,schua102,schulal01,1931-12-14,1889-05-12
leema02,1965,6,17,D.R.,San Pedro de Macoris,San Pedro de Macoris,NA,NA,NA,NA,NA,NA,Manuel,Lee,Manuel Lora,145,70,B,R,1985-04-10,1995-04-26,lee-m001,leema02,NA,1965-06-17
mcfarhe01,1870,3,11,USA,IA,Des Moines,1935,9,21,USA,VA,Richmond,Herm,McFarland,Hermas Walter,150,66,L,R,1896-04-21,1903-09-29,mcfah102,mcfarhe01,1935-09-21,1870-03-11
shoupjo01,1851,9,30,USA,WV,NA,1920,2,13,USA,OH,Cincinnati,John,Shoup,John H.,140,67,L,L,1879-05-03,1884-05-28,shouj101,shoupjo01,1920-02-13,1851-09-30
neuerte01,1877,6,8,USA,OH,Fremont,1966,1,14,USA,PA,Northumberland,Tacks,Neuer,John Stein,NA,68,L,L,1907-08-28,1907-10-03,neuet101,neuerte01,1966-01-14,1877-06-08
mamaual01,1894,5,30,USA,PA,Pittsburgh,1962,12,31,USA,CA,Santa Monica,Al,Mamaux,Albert Leon,168,72,R,R,1913-09-23,1924-09-02,mamaa101,mamaual01,1962-12-31,1894-05-30
niekrla01,1979,1,29,USA,FL,Winter Haven,NA,NA,NA,NA,NA,NA,Lance,Niekro,Lance Joseph,210,75,R,R,2003-09-05,2007-05-02,niekl001,niekrla01,NA,1979-01-29
oxsprch01,1977,5,13,Australia,Queensland,Ipswich,NA,NA,NA,NA,NA,NA,Chris,Oxspring,Chris Andrew,195,73,L,R,2005-09-02,2005-09-17,oxspc001,oxsprch01,NA,1977-05-13
perezca02,1990,10,27,Venezuela,Carabobo,Valencia,NA,NA,NA,NA,NA,NA,Carlos,Perez,Carlos Eduardo,210,72,R,R,2015-05-05,2018-09-30,perec003,perezca02,NA,1990-10-27
luebkdi01,1935,4,8,USA,IL,Chicago,1974,12,4,USA,CA,San Diego,Dick,Luebke,Richard Raymond,200,76,R,L,1962-08-11,1962-09-24,luebd101,luebkdi01,1974-12-04,1935-04-08
hansero02,1938,4,5,USA,NE,Oxford,NA,NA,NA,NA,NA,NA,Ron,Hansen,Ronald Lavern,190,75,R,R,1958-04-15,1972-06-20,hansr102,hansero02,NA,1938-04-05
brannmi01,1851,10,25,USA,MA,Douglas,1881,10,7,USA,IL,Chicago,Mike,Brannock,Michael J.,162,68,NA,NA,1871-10-21,1875-08-28,branm102,brannmi01,1881-10-07,1851-10-25
scheeal01,1888,10,27,USA,OH,Groveport,1959,5,6,USA,IN,Logansport,Al,Scheer,Allen George,165,69,L,R,1913-08-02,1915-10-03,schea102,scheeal01,1959-05-06,1888-10-27
hernayo01,1980,4,15,Venezuela,Bolivar,Ciudad Bolivar,NA,NA,NA,NA,NA,NA,Yoel,Hernandez,Yoel Alejandro,210,74,R,R,2007-05-05,2007-08-19,herny001,hernayo01,NA,1980-04-15
martiba01,1920,3,28,USA,WA,Seattle,2013,8,1,USA,AZ,Tucson,Babe,Martin,Boris Michael,194,71,R,R,1944-09-25,1953-07-01,martb101,martiba01,2013-08-01,1920-03-28
fishebr01,1962,3,18,USA,HI,Honolulu,NA,NA,NA,NA,NA,NA,Brian,Fisher,Brian Kevin,210,76,R,R,1985-05-07,1992-10-04,fishb001,fishebr01,NA,1962-03-18
akersje01,1887,11,1,USA,IN,Shelbyville,1979,5,15,USA,FL,Bay Pines,Jerry,Akers,Albert Earl,175,71,R,R,1912-05-04,1912-05-25,akerj101,akersje01,1979-05-15,1887-11-01
jonesro02,1964,6,11,USA,TX,Seguin,2006,6,4,USA,TX,Houston,Ron,Jones,Ronald Glen,195,70,L,R,1988-08-26,1991-10-06,joner004,jonesro02,2006-06-04,1964-06-11
bartjo01,1996,12,15,USA,GA,Buford,NA,NA,NA,NA,NA,NA,Joey,Bart,Joseph Andrew,238,74,R,R,2020-08-20,2021-07-10,bartj003,bartjo01,NA,1996-12-15
coxre01,1895,2,16,USA,NC,Laurel Springs,1984,10,15,USA,VA,Roanoke,Red,Cox,Plateau Preston Rex,190,74,L,R,1920-04-17,1920-05-01,cox-r101,coxre01,1984-10-15,1895-02-16
smilejo01,1965,3,17,USA,PA,Phoenixville,NA,NA,NA,NA,NA,NA,John,Smiley,John Patrick,180,76,L,L,1986-09-01,1997-08-30,smilj001,smilejo01,NA,1965-03-17
garagjo01,1926,2,12,USA,MO,St. Louis,2016,3,23,USA,AZ,Scottsdale,Joe,Garagiola,Joseph Henry,190,72,L,R,1946-05-26,1954-09-26,garaj101,garagjo01,2016-03-23,1926-02-12
grysksi01,1914,11,4,USA,IL,Chicago,1994,8,27,USA,IL,Hines,Sig,Gryska,Sigmund Stanley,173,71,R,R,1938-09-28,1939-10-01,gryss101,grysksi01,1994-08-27,1914-11-04
anderfr01,1885,12,11,USA,NC,Calahan,1957,11,8,USA,NC,Winston-Salem,Fred,Anderson,John Frederick,180,74,R,R,1909-09-25,1918-07-09,andef101,anderfr01,1957-11-08,1885-12-11
clemeed02,1975,12,15,P.R.,NA,Santurce,NA,NA,NA,NA,NA,NA,Edgard,Clemente,Edgard Alexis Velazquez,188,71,R,R,1998-09-10,2000-07-31,cleme001,clemeed02,NA,1975-12-15
leroylo01,1879,2,18,USA,WI,Omro,1944,10,10,USA,WI,Shawano,Louis,LeRoy,Louis Paul,180,70,R,R,1905-09-22,1910-04-20,lerol101,leroylo01,1944-10-10,1879-02-18
mcnamdi01,1905,9,16,USA,MA,Lexington,1963,12,20,USA,MA,Arlington,Dinny,McNamara,John Raymond,165,69,L,R,1927-07-02,1928-05-30,mcnad101,mcnamdi01,1963-12-20,1905-09-16
lynnre01,1913,12,27,USA,TX,Kenney,1977,10,27,USA,TX,Bellville,Red,Lynn,Japhet Monroe,162,72,R,R,1939-04-25,1944-10-01,lynnr101,lynnre01,1977-10-27,1913-12-27
willide02,1916,2,5,USA,NC,Durham,2000,3,19,USA,ND,Williston,Dewey,Williams,Dewey Edgar,160,72,R,R,1944-06-28,1948-09-26,willd109,willide02,2000-03-19,1916-02-05
alcanra01,1992,12,4,D.R.,Barahona,Barahona,NA,NA,NA,NA,NA,NA,Raul,Alcantara,Raul,220,76,R,R,2016-09-05,2017-09-29,alcar001,alcanra01,NA,1992-12-04
fordle01,1976,8,12,USA,TX,Beaumont,NA,NA,NA,NA,NA,NA,Lew,Ford,Jon Lewis,190,71,R,R,2003-05-29,2012-09-29,fordl001,fordle01,NA,1976-08-12
villape01,1987,12,9,USA,TX,Edinburg,NA,NA,NA,NA,NA,NA,Pedro,Villarreal,Pedro A.,235,73,R,R,2012-09-05,2015-09-22,villp001,villape01,NA,1987-12-09
walkefr01,1894,9,22,USA,SC,Enoree,1974,9,16,USA,TN,Bristol,Frank,Walker,Charles Franklin,165,71,R,R,1917-09-06,1925-08-08,walkf102,walkefr01,1974-09-16,1894-09-22
jonesro01,1960,1,14,USA,FL,Miami,NA,NA,NA,NA,NA,NA,Ross,Jones,Ross A.,185,74,R,R,1984-04-02,1987-10-04,joner001,jonesro01,NA,1960-01-14
taltoti01,1939,1,14,USA,NC,Pikeville,2021,7,22,USA,NC,Goldsboro,Tim,Talton,Marion Lee,200,75,L,R,1966-07-08,1967-10-01,taltt101,taltoti01,2021-07-22,1939-01-14
lelivbi01,1884,10,21,Netherlands,NA,NA,1968,2,14,USA,IL,Chicago,Bill,Lelivelt,William John,195,72,R,R,1909-07-19,1910-05-06,lelib101,lelivbi01,1968-02-14,1884-10-21
greyre01,1875,4,8,USA,OH,Zanesville,1934,11,8,USA,CA,Altadena,Reddy,Grey,Romer Carl,175,71,L,L,1903-05-28,1903-05-28,greyr101,greyre01,1934-11-08,1875-04-08
willima01,1893,2,21,USA,NC,Faison,1935,2,22,USA,AZ,Tucson,Marsh,Williams,Marshall McDiarmid,180,72,R,R,1916-07-07,1916-08-25,willm104,willima01,1935-02-22,1893-02-21
millewa01,1885,7,14,USA,PA,Philadelphia,1956,8,12,USA,PA,Philadelphia,Warren,Miller,Warren Lemuel,160,70,L,L,1909-07-29,1911-06-09,millw103,millewa01,1956-08-12,1885-07-14
baezjo01,1953,12,31,D.R.,San Cristobal,San Cristobal,NA,NA,NA,NA,NA,NA,Jose,Baez,Jose Antonio,160,68,R,R,1977-04-06,1978-06-06,baezj101,baezjo01,NA,1953-12-31
westma01,1904,7,14,USA,TX,Sunset,1971,4,25,USA,TX,Houston,Max,West,Walter Maxwell,165,71,R,R,1928-09-18,1929-10-05,westm101,westma01,1971-04-25,1904-07-14
wockejo01,1949,2,27,USA,WV,Welch,NA,NA,NA,NA,NA,NA,John,Wockenfuss,Johnny Bilton,190,72,R,R,1974-08-11,1985-08-15,wockj001,wockejo01,NA,1949-02-27
urenari01,1996,2,26,D.R.,Duarte,San Francisco de Macoris,NA,NA,NA,NA,NA,NA,Richard,Urena,Richard,195,72,B,R,2017-09-01,2019-09-29,urenr001,urenari01,NA,1996-02-26
garciki01,1953,10,14,USA,CA,Martinez,NA,NA,NA,NA,NA,NA,Kiko,Garcia,Alfonso Rafael,180,71,R,R,1976-09-11,1985-05-05,garck001,garciki01,NA,1953-10-14
grimebu01,1893,8,18,USA,WI,Emerald,1985,12,6,USA,WI,Clear Lake,Burleigh,Grimes,Burleigh Arland,175,70,R,R,1916-09-10,1934-09-20,grimb101,grimebu01,1985-12-06,1893-08-18
bicke99,1848,8,NA,USA,DC,Washington,1916,2,9,USA,DC,Washington,John,Bickerton,John A.,NA,NA,NA,NA,NA,NA,bicku801,bickejo99,1916-02-09,NA
howeljp01,1983,4,25,USA,CA,Modesto,NA,NA,NA,NA,NA,NA,J. P.,Howell,James Phillip,180,72,L,L,2005-06-11,2017-08-13,howej003,howeljp01,NA,1983-04-25
vickeru01,1879,5,17,USA,MI,Hillsdale,1958,12,9,USA,MI,Belleville,Rube,Vickers,Harry Porter,225,74,L,R,1902-09-21,1909-10-02,vickr101,vickeru01,1958-12-09,1879-05-17
riddldo01,1875,3,25,USA,MD,Frederick,1954,5,11,USA,MD,Frederick,Dorsey,Riddlemoser,Dorsey Lee,NA,NA,R,R,1899-08-22,1899-08-22,riddd101,riddldo01,1954-05-11,1875-03-25
bolan01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boland,NA,NA,NA,NA,NA,1875-09-04,1875-09-04,bolau101,bolan01,NA,NA
rolisna01,1977,3,27,USA,MS,Hattiesburg,NA,NA,NA,NA,NA,NA,Nate,Rolison,Nathan Mardis,225,77,L,R,2000-09-05,2000-09-30,rolin001,rolisna01,NA,1977-03-27
mcmulke01,1942,6,1,USA,CA,Oxnard,NA,NA,NA,NA,NA,NA,Ken,McMullen,Kenneth Lee,190,75,R,R,1962-09-17,1977-09-14,mcmuk101,mcmulke01,NA,1942-06-01
bestka01,1959,3,6,USA,WA,Aberdeen,NA,NA,NA,NA,NA,NA,Karl,Best,Karl Jon,190,76,R,R,1983-08-19,1988-06-20,bestk001,bestka01,NA,1959-03-06
stripjo01,1903,2,3,USA,NJ,Harrison,1989,6,10,USA,FL,Orlando,Joe,Stripp,Joseph Valentine,175,71,R,R,1928-07-02,1938-10-02,strij101,stripjo01,1989-06-10,1903-02-03
baileco01,1971,1,24,USA,IL,Herrin,NA,NA,NA,NA,NA,NA,Cory,Bailey,Philip Cory,195,72,R,R,1993-09-01,2002-07-03,bailc001,baileco01,NA,1971-01-24
shanewa01,1900,5,24,USA,VA,Lynchburg,1992,11,13,USA,NV,Las Vegas,Wally,Shaner,Walter Dedaker,195,74,R,R,1923-05-04,1929-06-14,shanw103,shanewa01,1992-11-13,1900-05-24
saucifr01,1926,5,28,USA,MO,Leslie,NA,NA,NA,NA,NA,NA,Frank,Saucier,Francis Field,180,73,L,R,1951-07-21,1951-09-23,saucf101,saucifr01,NA,1926-05-28
dukesel01,1984,6,26,USA,FL,Homestead,NA,NA,NA,NA,NA,NA,Elijah,Dukes,Elijah David,225,74,R,R,2007-04-02,2009-10-04,dukee001,dukesel01,NA,1984-06-26
mcavoge01,1884,3,12,USA,OH,East Liverpool,1952,8,19,USA,FL,Miami,George,McAvoy,George Robert,NA,NA,L,R,1914-07-17,1914-07-17,mcavg101,mcavoge01,1952-08-19,1884-03-12
alvarcl01,1968,5,18,Venezuela,Anzoategui,Guanta,NA,NA,NA,NA,NA,NA,Clemente,Alvarez,Clemente Rafael,180,71,R,R,2000-09-19,2000-10-01,alvac001,alvarcl01,NA,1968-05-18
portema01,1858,NA,NA,USA,NY,NA,1906,9,28,Mexico,Chiapas,Pijijiapan,Matthew,Porter,Matthew Sheldon,NA,NA,NA,NA,1884-06-27,1884-07-05,portm101,portema01,1906-09-28,NA
millsbi01,1919,11,2,USA,MA,Boston,2019,8,9,USA,FL,Gainesville,Bill,Mills,William Henry,175,70,R,R,1944-05-19,1944-06-03,millb115,millsbi01,2019-08-09,1919-11-02
ellswst01,1960,7,30,USA,IL,Chicago,NA,NA,NA,NA,NA,NA,Steve,Ellsworth,Steven Clark,220,80,R,R,1988-04-07,1988-07-08,ellss001,ellswst01,NA,1960-07-30
stephge01,1933,1,20,USA,AR,Gravette,2019,4,27,USA,TX,Granbury,Gene,Stephens,Glen Eugene,175,75,L,R,1952-04-16,1964-09-23,stepg101,stephge01,2019-04-27,1933-01-20
smithke01,1953,5,3,USA,FL,Palmetto,NA,NA,NA,NA,NA,NA,Keith,Smith,Keith Lavarne,178,69,R,R,1977-08-02,1980-10-05,smitk101,smithke01,NA,1953-05-03
howarel01,1929,2,23,USA,MO,St. Louis,1980,12,14,USA,NY,New York,Elston,Howard,Elston Gene,196,74,R,R,1955-04-14,1968-09-29,howae101,howarel01,1980-12-14,1929-02-23
umphlto01,1931,5,12,USA,NC,Scotland Neck,2012,9,21,USA,VA,Norfolk,Tom,Umphlett,Thomas Mullen,180,74,R,R,1953-04-16,1955-09-24,umpht101,umphlto01,2012-09-21,1931-05-12
donahde01,1920,6,23,USA,IL,Chicago,2008,3,6,USA,IL,Glenview,Deacon,Donahue,John Stephen Michael,180,72,R,R,1943-09-16,1944-05-26,donad101,donahde01,2008-03-06,1920-06-23
bradlja01,1893,9,20,USA,CO,Denver,1969,3,18,USA,OK,Tulsa,Jack,Bradley,John Thomas,175,71,R,R,1916-06-18,1916-07-31,bradj103,bradlja01,1969-03-18,1893-09-20
galliph01,1907,5,29,USA,WA,Seattle,1969,11,24,USA,MN,St. Paul,Phil,Gallivan,Philip Joseph,170,72,R,R,1931-04-21,1934-09-29,gallp101,galliph01,1969-11-24,1907-05-29
ramirwi01,1985,10,25,D.R.,Peravia,Bani,NA,NA,NA,NA,NA,NA,Wilkin,Ramirez,Wilkin Emilio,230,74,R,R,2009-05-20,2013-08-29,ramiw001,ramirwi01,NA,1985-10-25
kellybo01,1927,10,4,USA,OH,Cleveland,NA,NA,NA,NA,NA,NA,Bob,Kelly,Robert Edward,180,72,R,R,1951-05-04,1958-06-04,kellb103,kellybo01,NA,1927-10-04
abbotfr01,1874,10,22,USA,OH,Versailles,1935,6,11,USA,CA,Los Angeles,Fred,Abbott,Harry Frederick,180,70,R,R,1903-04-25,1905-09-20,abbof101,abbotfr01,1935-06-11,1874-10-22
buddimi01,1970,12,12,USA,OH,Berea,NA,NA,NA,NA,NA,NA,Mike,Buddie,Michael Joseph,210,75,R,R,1998-04-06,2002-05-26,buddm001,buddimi01,NA,1970-12-12
wootesh01,1972,7,24,USA,CA,Glendora,NA,NA,NA,NA,NA,NA,Shawn,Wooten,William Shawn,205,70,R,R,2000-08-19,2005-05-26,woots001,wootesh01,NA,1972-07-24
hockide01,1970,4,2,USA,CA,Torrance,NA,NA,NA,NA,NA,NA,Denny,Hocking,Dennis Lee,180,70,B,R,1993-09-10,2005-09-28,hockd001,hockide01,NA,1970-04-02
taffjo01,1890,6,3,USA,TX,Austin,1961,5,15,USA,TX,Houston,John,Taff,John Gallatin,170,72,R,R,1913-05-11,1913-06-28,taffj101,taffjo01,1961-05-15,1890-06-03
willial02,1914,5,11,USA,AL,Valhermosa Springs,1969,7,19,USA,TX,Groves,Al,Williams,Almon Edward,200,75,R,R,1937-04-19,1938-09-04,willa101,willial02,1969-07-19,1914-05-11
dunnida01,1994,12,20,USA,FL,Orange Park,NA,NA,NA,NA,NA,NA,Dane,Dunning,Dane Anthony,225,76,R,R,2020-08-19,2021-10-03,dunnd001,dunnida01,NA,1994-12-20
